{(N1742, F0, i) + (N326, F0, i)}
{(N1742, F0, i) + (N3816, F0, i)}
{(N1742, F0, i) + (N1818, F0, i)}
{(N1742, F0, i) + (N2261, F0, i)}
{(N1742, F0, i) + (N1392, F0, i)}
{(N1742, F0, i) + (N724, F1, i)}
{(N1742, F0, i) + (N1826, F1, i)}
{(N1742, F0, i) + (N920, F1, i)}
{(N1742, F0, i) + (N1215, F1, i)}
{(N7->N2127, F0, i) + (N326, F0, i)}
{(N7->N2127, F0, i) + (N3816, F0, i)}
{(N7->N2127, F0, i) + (N1818, F0, i)}
{(N7->N2127, F0, i) + (N2261, F0, i)}
{(N7->N2127, F0, i) + (N1392, F0, i)}
{(N7->N2127, F0, i) + (N724, F1, i)}
{(N7->N2127, F0, i) + (N1826, F1, i)}
{(N7->N2127, F0, i) + (N920, F1, i)}
{(N7->N2127, F0, i) + (N1215, F1, i)}
{(N12->N2127, F0, i) + (N326, F0, i)}
{(N12->N2127, F0, i) + (N3816, F0, i)}
{(N12->N2127, F0, i) + (N1818, F0, i)}
{(N12->N2127, F0, i) + (N2261, F0, i)}
{(N12->N2127, F0, i) + (N1392, F0, i)}
{(N12->N2127, F0, i) + (N724, F1, i)}
{(N12->N2127, F0, i) + (N1826, F1, i)}
{(N12->N2127, F0, i) + (N920, F1, i)}
{(N12->N2127, F0, i) + (N1215, F1, i)}
{(N2127, F0, i) + (N326, F0, i)}
{(N2127, F0, i) + (N3816, F0, i)}
{(N2127, F0, i) + (N1818, F0, i)}
{(N2127, F0, i) + (N2261, F0, i)}
{(N2127, F0, i) + (N1392, F0, i)}
{(N2127, F0, i) + (N724, F1, i)}
{(N2127, F0, i) + (N1826, F1, i)}
{(N2127, F0, i) + (N920, F1, i)}
{(N2127, F0, i) + (N1215, F1, i)}
