{(N1435, F0, i) + (N1913, F0, i)}
{(N1435, F0, i) + (N2979, F0, i)}
{(N1435, F0, i) + (N2142->N3451, F1, i)}
{(N1435, F0, i) + (N3451, F0, i)}
{(N1435, F0, i) + (N2285->N438, F1, i)}
{(N1435, F0, i) + (N438, F0, i)}
{(N1509, F0, i) + (N1913, F0, i)}
{(N1509, F0, i) + (N2979, F0, i)}
{(N1509, F0, i) + (N2142->N3451, F1, i)}
{(N1509, F0, i) + (N3451, F0, i)}
{(N1509, F0, i) + (N2285->N438, F1, i)}
{(N1509, F0, i) + (N438, F0, i)}
{(N739->N3095, F1, i) + (N1913, F0, i)}
{(N739->N3095, F1, i) + (N2979, F0, i)}
{(N739->N3095, F1, i) + (N2142->N3451, F1, i)}
{(N739->N3095, F1, i) + (N3451, F0, i)}
{(N739->N3095, F1, i) + (N2285->N438, F1, i)}
{(N739->N3095, F1, i) + (N438, F0, i)}
{(N3095, F0, i) + (N1913, F0, i)}
{(N3095, F0, i) + (N2979, F0, i)}
{(N3095, F0, i) + (N2142->N3451, F1, i)}
{(N3095, F0, i) + (N3451, F0, i)}
{(N3095, F0, i) + (N2285->N438, F1, i)}
{(N3095, F0, i) + (N438, F0, i)}
{(N1055->N2830, F1, i) + (N1913, F0, i)}
{(N1055->N2830, F1, i) + (N2979, F0, i)}
{(N1055->N2830, F1, i) + (N2142->N3451, F1, i)}
{(N1055->N2830, F1, i) + (N3451, F0, i)}
{(N1055->N2830, F1, i) + (N2285->N438, F1, i)}
{(N1055->N2830, F1, i) + (N438, F0, i)}
{(N2830, F0, i) + (N1913, F0, i)}
{(N2830, F0, i) + (N2979, F0, i)}
{(N2830, F0, i) + (N2142->N3451, F1, i)}
{(N2830, F0, i) + (N3451, F0, i)}
{(N2830, F0, i) + (N2285->N438, F1, i)}
{(N2830, F0, i) + (N438, F0, i)}
